FileName,MS,TDR,ebike,equity,carMiles,carMilesR,carMiles.pers,carMilesR.pers,carMilesCycled,milesCycled.pers,milesCycled.male,milesCycled.female,milesCycled.white,milesCycled.nonwhite,milesCycled.caraccess,milesCycled.noncaraccess,METh,METhincr,MMETh,MMETh.pers,MMEThincr,CO2.Tm,CO2R.perc,CO2.pers,TripDisIncSW,TripTotalTime1,timeSaved.Total.h,timeSavedCyclists.perc,nocarTrips.people.perc,nocar.males.perc,nocar.females.perc,nocar.white.perc,nocar.nonwhite.perc,nocar.caraccess,nocar.noncaraccess,nopeople,nocyclists,newcyclists,cyclist.potential,cyclists.perc,cyclists.incr,cyclist.male.perc,cyclist.female.perc,cyclist.white.perc,cyclist.nonwhite.perc,cyclist.caraccess.perc,cyclist.noncaraccess.perc,cyclist.nssec1.perc,cyclist.nssec2.perc,cyclist.nssec3.perc,cyclist.nssec4.perc,cyclist.nssec5.perc,trips.bike.perc,trips.nssec1.perc,trips.nssec2.perc,trips.nssec3.perc,trips.nssec4.perc,trips.nssec5.perc,trips.age20.39.perc,trips.age40.59.perc,trips.age60plus.perc,nopeopleWithTrips,People.with.NoTrips,YLL.Reduction.20.39.Males,YLL.Reduction.40.59.Males,YLL.Reduction.60p.Males,YLL.Reduction.20.39.Females,YLL.Reduction.40.59.Females,YLL.Reduction.60p.Females,YLL.Reduction.20.39.All,YLL.Reduction.40.59.All,YLL.Reduction.60p.All,YLL.20.39.Males,YLL.40.59.Males,YLL.60p.Males,YLL.20.39.Females,YLL.40.59.Females,YLL.60p.Females,YLL.20.39.All,YLL.40.59.All,YLL.60p.All
IIyear.MS4_TDR0.9_ebik0_eq1.csv,4,0.9,0,1,1449968.14,193106.49,96.2,12.8,28799,3.17,3.74,2.66,3.26,2.31,3.42,2.09,107568.8,15838.9,86213.2,5.9,13630.5,350.17,11.8,0.023240858,1843168,5734905.9,9673.8,111.8,13.7,14.7,12.8,12.1,29.2,5.9,47.6,14502,2801,2179,2377,18.6,292.8,20.1,17.2,18.8,16.4,18.8,17.5,19.6,17.5,18.6,16.8,18,6.1,5.9,5.6,6.5,6.6,6.8,6.7,6,5.6,14502,565,1.09,1.77,6.48,2.31,2.84,7.38,3.41,4.61,13.86,2671.12,14010.37,26486.73,1421.64,5201.54,24261.21,4092.75,19211.92,50747.95
IIyear.MS4_TDR0.9_ebik1_eq0.csv,4,0.9,1,0,1439794.94,203279.69,95.6,13.5,38972.2,4.02,5.86,2.35,4.11,3.13,4.41,2.33,103071.5,11341.6,81462.6,5.6,8879.9,347.71,12.4,0.023077587,1843168,5712921.4,10040.2,97.4,13.8,14.9,12.8,12.1,29.6,5.9,47.8,14502,2849,2257,2384,18.9,299.6,26.4,12.1,19,17.4,19.2,17.6,20.1,16.9,18.5,17.6,22.7,7.2,7,6.5,7.6,9,9.4,8.6,8,4.7,14502,565,1.74,2.94,4.69,1.32,1.85,2.17,3.06,4.78,6.86,4303.61,24189.36,19165.7,819.29,3380.22,7689.76,5122.9,27569.59,26855.46
IIyear.MS4_TDR0.9_ebik1_eq1.csv,4,0.9,1,1,1441186.75,201887.88,95.7,13.4,37580.4,3.89,4.57,3.28,4,2.87,4.24,2.42,102473.9,10744,81004.7,5.6,8422,348.05,12.3,0.023100153,1843168,5711362.8,10066.1,96.9,13.8,14.7,12.9,12.1,29.4,5.9,47.7,14502,2858,2239,2377,19,300.8,20.4,17.7,19.2,16.6,19.2,18.2,19.9,17.8,19,17.6,18.7,7.2,7,6.7,7.7,8,7.8,7.8,7.1,6.8,14502,565,0.94,1.67,4.99,1.8,2.43,5.6,2.74,4.1,10.59,2326.13,13279.84,20387.58,1110.19,4443.91,18821.46,3436.32,17723.74,39209.04
IIyear.MS4_TDR1_ebik0_eq0.csv,4,1,0,0,1613081.1,29993.53,107.1,2,29993.5,3.42,5.57,1.45,3.48,2.79,3.69,2.24,109071.2,17341.3,87458.7,6,14876,389.56,1.8,0.02585518,2047965,6338612,-388,112.5,13.7,14.7,12.8,12.1,29.2,5.8,47.7,14502,2764,2166,2384,18.3,287.7,25.9,11.5,18.4,17.2,18.8,16.6,19.6,16.4,17.9,16.2,22.2,6.1,5.8,5.2,6.6,7,8,7.5,6.8,3.6,14502,565,2.62,4.11,5.33,1.45,1.76,1.83,4.06,5.87,7.16,6410.67,33390.33,21838.8,892.12,3229.33,6574.83,7302.79,36619.65,28413.63
IIyear.MS4_TDR1_ebik0_eq1.csv,4,1,0,1,1613175.53,29899.1,107.1,2,29899.1,3.4,4.02,2.83,3.5,2.38,3.64,2.36,110239.5,18509.6,88440,6.1,15857.3,389.58,1.8,0.025856508,2047965,6345687,-505.9,116,13.7,14.6,12.9,12.1,29.1,5.9,47.5,14502,2795,2178,2377,18.6,292,20,17.2,18.8,16.4,18.7,17.9,19.4,17.4,18.6,17.7,18.1,6.2,6,5.7,6.6,6.8,6.7,6.7,6,5.8,14502,565,1.16,1.99,6.97,2.48,3.06,7.81,3.64,5.04,14.78,2874.14,16013.69,28373.25,1520.35,5596.95,25885.95,4394.49,21610.64,54259.2
IIyear.MS4_TDR1_ebik1_eq0.csv,4,1,1,0,1602421.94,40652.69,106.4,2.7,40652.7,4.31,6.32,2.48,4.39,3.54,4.72,2.57,105517.1,13787.2,83426.7,5.8,10844,386.98,2.5,0.025683945,2047965,6328927,-226.6,105.5,13.7,14.8,12.8,12.1,29.2,5.8,47.8,14502,2853,2261,2384,18.9,300.1,26.5,12.1,19,18,19.3,17.4,20.2,16.9,18.5,18,22.5,7.1,6.8,6.2,7.6,8.5,9.3,8.5,7.8,4.6,14502,565,2.02,3.06,5.25,1.41,1.93,2.24,3.43,4.99,7.49,4977.63,25343.85,21560.35,860.9,3539.97,7982.94,5838.53,28883.82,29543.29
IIyear.MS4_TDR1_ebik1_eq1.csv,4,1,1,1,1604071.42,39003.21,106.5,2.6,39003.2,4.13,4.71,3.59,4.22,3.2,4.47,2.67,104850.5,13120.6,82924.9,5.7,10342.2,387.38,2.4,0.025710493,2047965,6323003,-127.9,103.2,13.8,14.8,12.9,12.1,29.3,5.9,47.6,14502,2860,2237,2377,19,301.1,20.4,17.7,19.2,17,19.1,18.5,19.9,17.8,19,17.7,18.4,7.1,6.8,6.6,7.7,8.2,7.4,7.7,7,6.8,14502,565,1.05,1.81,5.35,1.97,2.73,5.85,3.01,4.54,11.2,2583.15,14401.38,21913.54,1209.64,5001.89,19816.36,3792.79,19403.28,41729.9
IIyear.MS64_TDR0.7_ebik0_eq0.csv,64,0.7,0,0,1042555.12,600519.51,69.2,39.9,107597.1,9.26,12.96,5.89,9.37,8.12,10.27,4.87,140846.9,49117,115793.4,8,43210.7,251.78,36.5,0.016710692,1433575,4609626.9,28428.4,88.3,14.4,15.5,13.3,12.7,29.6,6.2,49.7,14502,9902,9689,10596,65.7,1288.8,74.8,57.5,65.7,66,67.5,58.2,68.6,63.6,65,55.4,69.9,20.5,19.9,19.1,21.9,20.8,23,21.9,21.7,17.3,14502,565,6.88,11.72,25.43,6.49,8.54,13.48,13.37,20.26,38.91,16991.2,97073.35,103603.3,4056.37,15633.03,46519.49,21047.58,112706.38,150122.78
IIyear.MS64_TDR0.7_ebik0_eq1.csv,64,0.7,0,1,1029061.26,614013.37,68.3,40.8,121091,10.25,10.93,9.63,10.47,8.19,11.35,5.48,152014.5,60284.6,125289.6,8.6,52706.9,248.52,37.4,0.016494325,1433575,4669251.6,27434.7,93.1,14.4,15.3,13.5,12.6,30.7,6.2,49.5,14502,10559,10331,11176,70.1,1380.9,69.7,70.4,70.3,68.3,71.7,63.2,72.1,70.7,69.4,58.3,70.5,22.1,21,21.8,23.4,21.9,24,22.6,21.5,22.2,14502,565,5.31,8.93,28.88,9.33,11.44,31.88,14.64,20.37,60.76,13169.7,73831.28,117613.4,5901.32,20956.2,105588.6,19071.02,94787.48,223202
IIyear.MS64_TDR0.7_ebik1_eq0.csv,64,0.7,1,0,999584.69,643489.94,66.3,42.7,150567.5,12.79,15.25,10.56,13.04,10.45,14.27,6.44,130068.5,38338.6,103004.5,7.1,30421.8,241.4,39.2,0.016021769,1433575,4575016.5,29005.2,80.2,14.9,15.8,14.1,13.1,31.3,6.5,51,14502,10290,10096,10596,68.3,1343.2,76.9,60.5,68.1,69.7,69.8,61.8,71.3,66.4,66.7,58.3,74.8,27.3,26.2,26.9,28.4,28.7,30.3,29.4,28.6,23.2,14502,565,5.1,9.19,20.32,7.05,8.67,14.22,12.15,17.87,34.54,12649.42,76201.63,83082.63,4440.92,15882.85,48164.29,17090.34,92084.48,131246.92
